id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
37;Rico Cuéllar Abascal;M;1990-01-12;San Isidro;2023-03-01;Plata
38;Felix Jose Ignacio Aliaga Caparrós;M;1953-11-13;Surco;2023-12-31;Bronce
39;Valentín Meléndez Heras;M;1996-06-22;Independencia;2023-10-26;Bronce
40;Dalila Bermúdez Boada;F;1952-03-17;Santiago de Surco;2023-05-30;Sin Programa
41;Saturnino de Casas;M;1999-10-12;La Molina;2023-05-16;Sin Programa
42;Mónica Talavera Dalmau;F;1988-10-10;Villa El Salvador;2023-07-25;Sin Programa
43;Juan Luis Rocha Galán;M;1954-10-31;Breña;2024-01-03;Sin Programa
44;René Font-Mesa;M;1990-01-20;Villa El Salvador;2023-12-15;Bronce
45;Nazaret Perea;F;1939-02-01;San Miguel;2023-05-27;Sin Programa
46;Vinicio del Carrillo;M;2004-10-07;Barranco;2023-06-20;Plata
47;Coral Baró Neira;F;1956-01-29;Ate;2023-05-05;Sin Programa
48;Marita Grau Giménez;F;1968-07-02;Breña;2023-09-01;Sin Programa
49;Andrea Barral Granados;F;1985-10-29;Independencia;2023-03-10;Bronce
50;Yolanda Angulo Murillo;F;1970-01-14;Breña;2023-04-22;Sin Programa
51;Lola Gárate Lopez;F;1988-07-11;Comas;2023-08-05;Bronce
52;Custodio de Suárez;M;1972-08-03;San Isidro;2023-04-05;Sin Programa
53;Rita Suárez Ramírez;F;1996-01-04;San Isidro;2023-09-01;Sin Programa
54;Asdrubal Caballero Rosa;M;1952-05-17;San Juan de Lurigancho;2023-06-12;Bronce
55;Ileana Reig Solera;F;1958-07-02;La Molina;2024-01-09;Bronce
56;Nerea Cabello Barrera;F;1995-09-02;Ate;2023-10-30;Sin Programa
57;Prudencio Nicolau;M;1967-09-01;Comas;2023-01-27;Sin Programa
58;Diana Feliu Falcón;F;1962-10-13;La Molina;2023-06-01;Bronce
59;Jacinta Checa-Roca;F;2002-06-19;Surco;2023-04-17;Plata
60;Emilio Sevillano Iborra;M;1953-06-22;Chorrillos;2023-08-25;Bronce
61;Isaura Cabañas Ayuso;F;1994-09-20;San Martín de Porres;2023-01-24;Bronce
62;Socorro Alcolea-Bueno;F;1993-04-25;Pueblo Libre;2023-04-22;Sin Programa
63;Carina Ramos Torralba;F;2000-02-05;San Isidro;2024-01-23;Bronce
64;Custodio del Barral;M;1955-08-09;Lince;2023-07-31;Sin Programa
65;Goyo Abril Portero;M;1997-09-05;San Martín de Porres;2023-04-12;Sin Programa
66;Ruben Sanz Machado;M;1939-09-07;San Miguel;2023-09-19;Bronce
67;Pablo Torrecilla;M;1944-12-09;Chorrillos;2023-10-14;Sin Programa
68;Celestina Martin Gelabert;F;1964-09-12;Rímac;2023-11-24;Sin Programa
69;Marina Barrera Mir;F;2003-10-29;San Miguel;2023-09-18;Sin Programa
70;Amador Tapia Valverde;M;1950-08-21;San Miguel;2023-10-28;Bronce
71;Camila Barberá-Verdejo;F;1975-08-25;Surco;2023-10-05;Plata
72;Susanita Estevez Bayona;F;1994-03-09;Breña;2023-01-23;Sin Programa
73;Anabel Nereida Gutierrez Quintanilla;F;2005-09-08;San Miguel;2023-05-03;Sin Programa
74;Vilma Hoz Ariño;F;1951-11-08;Magdalena del Mar;2023-02-08;Bronce
75;Apolinar Hugo Yáñez Molina;M;1980-04-21;Breña;2023-01-31;Sin Programa
76;Clara Miralles Gómez;F;1979-08-27;Santiago de Surco;2023-02-28;Sin Programa
77;Gertrudis Castro Marín;F;1963-09-30;San Juan de Lurigancho;2023-08-08;Sin Programa
78;Estela de Agustí;F;1943-01-10;San Isidro;2023-02-05;Sin Programa
79;María de Beltrán;M;1973-11-05;San Borja;2023-06-09;Sin Programa
80;Clotilde Velasco-Lara;F;1947-02-03;Breña;2023-05-05;Plata
81;Úrsula Oller Bayona;F;1947-01-31;Pueblo Libre;2023-04-30;Plata
82;Gil López Cruz;M;2002-03-15;Jesús María;2023-09-16;Sin Programa
83;Sigfrido del Ángel;M;1972-08-30;Lince;2023-02-04;Bronce
84;Natividad Marí Calleja;F;1995-03-12;Sin Especificar;2023-09-22;Plata
85;Dulce Carlos Campo;F;1967-08-12;Chorrillos;2023-12-19;Plata
86;Calixta Lladó-Luján;F;2006-09-19;Villa El Salvador;2023-10-01;Bronce
87;Clementina Paca Novoa Frutos;F;1958-04-05;Santiago de Surco;2023-09-18;Plata
88;Ligia Torres Iglesias;F;2007-09-13;San Miguel;2023-01-30;Sin Programa
89;Araceli Roda Lloret;F;1970-07-12;Rímac;2023-01-24;Bronce
90;Abril Múgica Castrillo;F;1937-01-24;San Juan de Lurigancho;2023-09-28;Oro
91;Candelaria Sala Roma;F;1990-04-15;Surco;2023-05-02;Sin Programa
92;Adalberto Caparrós-Benet;M;1984-08-27;Villa El Salvador;2023-11-29;Sin Programa
93;Leandro Araujo Peiró;M;1956-11-23;Los Olivos;2023-04-11;Bronce
94;Leoncio Candelario Ropero Castell;M;2004-09-25;Lince;2023-06-14;Sin Programa
95;Encarnita Pastor Ariño;F;1962-12-09;San Miguel;2023-12-12;Plata
96;Clementina Iborra Calderon;F;1950-09-02;Chorrillos;2023-09-17;Sin Programa
97;Rosario Ramos Cortes;M;1991-07-15;Jesús María;2023-08-27;Sin Programa
98;Teresa Cámara Elorza;F;2000-09-30;Ate;2023-12-07;Bronce
99;Aitana Escobar;F;1951-05-01;Miraflores;2023-11-12;Sin Programa
100;Rosendo Requena Hurtado;M;1978-05-09;Villa El Salvador;2023-06-14;Bronce
101;Cebrián Campoy Piñeiro;M;1993-04-07;Los Olivos;2023-03-12;Plata
102;Timoteo Sosa Girón;M;1967-09-28;Santiago de Surco;2023-09-26;Sin Programa
103;Salomé Seguí Olmo;F;1937-04-14;Miraflores;2023-09-28;Bronce
104;Samanta Goñi Gisbert;F;1943-11-03;San Borja;2023-03-21;Plata
105;Narciso Ferrando Pujadas;M;1960-11-20;Los Olivos;2023-11-13;Plata
106;Eligia Baños Lorenzo;F;1968-02-12;Surco;2023-01-20;Bronce
107;Miguel Ángel Vergara Pulido;M;1949-09-03;Sin Especificar;2023-02-09;Sin Programa
108;Fito Amorós-Carlos;M;1977-11-20;Pueblo Libre;2023-03-05;Oro
109;Chuy Lara Arenas;M;1998-09-28;Chorrillos;2023-08-10;Sin Programa
110;María Rovira Ojeda;F;1946-07-28;San Martín de Porres;2023-09-09;Sin Programa
111;Isa Vidal Carlos;F;2002-08-18;Santiago de Surco;2023-09-28;Bronce
112;Vinicio Falcón;M;2001-05-13;Chorrillos;2023-08-03;Oro
113;Alfredo Rubio Abellán;M;2000-03-25;Comas;2023-06-27;Sin Programa
114;Óscar Figueras-Pascual;M;1939-01-17;Miraflores;2023-04-29;Plata
115;Anastasia Murillo;F;1939-03-09;Santiago de Surco;2023-11-10;Sin Programa
116;Estefanía Narcisa Casanovas Mas;F;1990-01-15;Lince;2023-09-13;Bronce
117;Fabián Real-Morera;M;1968-08-14;Pueblo Libre;2023-03-04;Bronce
118;Pablo Marqués;M;1992-01-08;La Molina;2023-10-29;Sin Programa
119;Bernardo Feliu-Rivero;M;1966-07-09;San Borja;2023-02-01;Bronce
120;Nicolasa Dávila;F;1941-10-08;San Martín de Porres;2023-07-22;Sin Programa
121;Lucas Eutropio Ramis Abad;M;1969-06-04;Sin Especificar;2023-10-14;Sin Programa
122;Eric Gallo Ropero;M;1946-07-20;La Molina;2023-12-11;Sin Programa
123;Marcio Nacio Montserrat Sola;M;1943-08-05;Breña;2023-10-21;Bronce
124;Isaura de Vicente;F;1996-02-04;La Molina;2023-10-23;Bronce
125;Rosalina de Blazquez;F;2007-07-04;Los Olivos;2023-09-12;Sin Programa
126;José Ángel Naranjo Bueno;M;1979-07-31;Rímac;2023-07-15;Sin Programa
127;Nerea Menéndez Gomila;F;1968-10-21;San Borja;2023-03-19;Plata
128;Brunilda Amat Arteaga;F;1947-04-01;Magdalena del Mar;2023-07-17;Sin Programa
129;Jordán Beltran Sarabia;M;1952-01-09;San Isidro;2023-04-23;Bronce
130;Vicenta Ferreras;F;1943-06-29;Jesús María;2023-06-29;Sin Programa
131;Jose Miguel Pulido;M;1984-11-28;Ate;2023-12-17;Sin Programa
132;Brunilda Adán Campillo;F;1979-06-19;Independencia;2024-01-04;Sin Programa
133;Damián Echeverría;M;1987-06-19;Ate;2024-01-30;Sin Programa
134;Jesús Ayllón-Ibañez;M;1942-10-27;Breña;2023-01-14;Sin Programa
135;Jessica Cañellas Sobrino;F;1938-05-10;San Isidro;2024-01-15;Sin Programa
136;Manuelita Molins-Salas;F;1957-06-09;Barranco;2023-03-23;Bronce
137;Sabina Pacífica Vargas Roldan;F;2006-05-14;San Isidro;2023-01-09;Bronce
138;Itziar Cuenca-Taboada;F;1986-08-23;Miraflores;2023-11-16;Plata
139;Efraín de Lluch;M;1971-09-26;San Isidro;2023-01-10;Sin Programa
140;Jose Carlos Haro-Llobet;M;1992-11-06;Magdalena del Mar;2023-01-26;Oro
141;Angélica del Guitart;F;1954-11-06;San Martín de Porres;2023-08-20;Plata
142;Eva María Montenegro Berrocal;F;1957-07-10;San Isidro;2023-10-27;Bronce
143;Bárbara Guardia Piñol;F;1967-10-21;Los Olivos;2023-10-19;Bronce
144;Patricio Gargallo Baró;M;1984-02-15;San Miguel;2024-01-08;Sin Programa
145;Griselda Muro;F;1994-02-02;Los Olivos;2023-07-16;Sin Programa
146;Joan Ricart-Barrios;M;2002-06-02;San Miguel;2023-12-28;Bronce
147;Sigfrido Rivera Porras;M;1941-05-11;Ate;2024-01-30;Sin Programa
148;Pablo Agustín Pintor Tapia;M;1962-03-05;Magdalena del Mar;2023-04-18;Bronce
149;Feliciana Martín Porta;F;1962-02-13;Villa El Salvador;2023-03-06;Sin Programa
150;Julio César Giménez;M;1971-07-01;La Molina;2023-02-24;Oro
151;Constanza del Ruano;F;1950-11-12;Magdalena del Mar;2023-09-16;Plata
152;Albina del Navarrete;F;1971-04-14;Independencia;2023-03-01;Bronce
153;Porfirio Dalmau;M;1994-11-16;La Molina;2023-12-01;Sin Programa
154;Ángel de Amores;M;1998-12-15;Independencia;2023-04-08;Bronce
155;Martina Amores;F;1970-06-11;Santiago de Surco;2023-07-19;Sin Programa
156;Milagros Romero Cerdá;F;2000-11-25;Miraflores;2023-01-20;Bronce
157;Casandra de Juan;F;1961-01-03;Lince;2023-12-04;Plata
158;Eugenia Galán;F;1946-12-07;San Miguel;2023-05-12;Bronce
159;Eugenia del Pinilla;F;1956-08-21;Independencia;2023-03-05;Sin Programa
160;Primitiva Robles Iniesta;F;1941-09-17;La Molina;2023-07-28;Sin Programa
161;José Aliaga Azorin;F;1975-09-19;San Martín de Porres;2023-11-30;Bronce
162;Dani Bayona Arjona;M;1966-12-26;San Martín de Porres;2023-03-30;Plata
163;Duilio Flores Almagro;M;1938-01-13;Comas;2023-04-28;Sin Programa
164;Carmelo Dimas Cases Sáenz;M;1974-10-15;Independencia;2024-01-02;Sin Programa
165;Marcela Gibert Sola;F;1978-06-28;Breña;2023-08-14;Plata
166;Rodolfo Peinado Diez;M;1982-09-23;Lince;2024-01-11;Bronce
167;Marcio Raúl Carbó Céspedes;M;1948-09-24;Barranco;2023-04-08;Sin Programa
168;Baltasar Amigó Mesa;M;1942-03-29;Surco;2023-07-15;Sin Programa
169;Nilo Wilfredo Perez Puente;M;1956-03-15;Sin Especificar;2023-09-19;Oro
170;Anselmo Herrero Cal;M;1967-12-27;San Miguel;2023-05-05;Sin Programa
171;Susanita Carrillo Armengol;F;1960-10-17;Miraflores;2024-01-09;Plata
172;Luisina Romero Pellicer;F;1958-01-06;Breña;2023-11-06;Oro
173;José Luis Nogueira Alberola;M;1980-07-22;Barranco;2024-01-01;Bronce
174;Sergio Trillo;M;1969-09-19;Sin Especificar;2023-10-03;Sin Programa
175;Inocencio Paredes Segura;M;1974-01-22;San Juan de Lurigancho;2023-11-24;Sin Programa
176;Irma Echeverría Vélez;F;1998-05-10;Pueblo Libre;2023-09-20;Sin Programa
177;María Manuela Tomás Sola;F;1936-02-10;Barranco;2023-01-26;Bronce
178;Sara Ledesma;F;1976-04-08;La Molina;2023-03-23;Bronce
179;Teodosio Higueras Bolaños;M;2003-07-27;Jesús María;2023-09-08;Sin Programa
180;Valero Sanmartín Hervás;M;1992-11-25;San Miguel;2023-03-05;Sin Programa
181;Mariana del Navarrete;F;2000-09-25;Santiago de Surco;2023-01-03;Sin Programa
182;Leocadia Morcillo Espada;F;1957-11-11;La Molina;2023-05-14;Plata
183;Cloe del Jordán;F;1984-03-11;San Isidro;2023-04-14;Plata
184;Enrique Llorente Agustín;M;1969-10-20;Rímac;2023-11-07;Sin Programa
185;Claudio Boada-Hernández;M;1953-08-18;Villa El Salvador;2024-01-16;Plata
186;Jose Ignacio Hernandez;M;2000-09-26;San Juan de Lurigancho;2023-06-30;Sin Programa
187;Mireia del Samper;F;1937-08-27;Independencia;2023-10-08;Bronce
188;Arturo Mariscal Giralt;M;1962-05-12;San Martín de Porres;2023-10-06;Sin Programa
189;Nydia Hervia;F;1943-12-16;Barranco;2023-05-07;Bronce
190;Natanael Peinado Sáenz;M;1991-12-21;San Miguel;2023-01-02;Bronce
191;Luisa Núñez-Roig;F;1943-02-07;Ate;2023-02-23;Plata
192;Eusebia Ortiz-Santiago;F;1955-05-29;San Juan de Lurigancho;2023-08-23;Sin Programa
193;Ezequiel Iglesias Gual;M;1979-07-14;San Martín de Porres;2023-07-28;Bronce
194;Poncio Fernández Moles;M;1946-10-30;La Molina;2023-10-20;Sin Programa
195;Perlita Esteve Feliu;F;1949-12-23;Santiago de Surco;2023-09-13;Bronce
196;Rafael Tomé Lloret;M;1943-04-07;San Isidro;2023-08-18;Sin Programa
197;Pía Luciana Luna Cabrera;F;1936-11-21;Jesús María;2023-04-07;Sin Programa
198;Emiliana Gordillo Paniagua;F;1984-01-12;Magdalena del Mar;2024-01-04;Sin Programa
199;Encarna Alcalá Castañeda;F;2003-12-23;Santiago de Surco;2023-05-05;Bronce
200;Amalia Ballester Manzano;F;1971-08-25;Independencia;2023-12-13;Sin Programa
201;Merche Tudela Calderon;F;1964-04-20;San Martín de Porres;2023-01-26;Bronce
202;Maribel Luís Soria;F;1957-09-17;Independencia;2023-08-29;Bronce
203;Isabela del Espinosa;F;1974-12-31;Villa El Salvador;2023-03-14;Plata
204;Edmundo Tejedor Carbonell;M;1987-01-01;Rímac;2023-02-18;Bronce
205;Gracia Téllez Benavent;F;1954-03-24;Rímac;2023-10-03;Plata
206;Maxi Olegario Baeza Cordero;M;1942-08-24;Barranco;2023-09-14;Bronce
207;Ruperta Mateu Blázquez;F;1944-09-13;Sin Especificar;2024-01-16;Sin Programa
208;Benigno Rico Gonzalez;M;1968-11-28;Magdalena del Mar;2023-03-29;Sin Programa
209;Fortunata Sanjuan-Salas;F;1999-02-09;La Molina;2023-12-14;Plata
210;Teodora Romeu Mayoral;F;1946-12-26;Comas;2023-08-21;Bronce
211;María Teresa América Cabezas Galiano;F;1948-08-22;La Molina;2023-12-01;Bronce
212;Dulce Bertrán Crespo;F;1994-03-04;Santiago de Surco;2023-02-26;Plata
213;Carmela Benavides Crespi;F;2003-04-24;San Isidro;2023-08-31;Sin Programa
214;Hernando Sanjuan Soriano;M;1982-10-23;Sin Especificar;2023-03-26;Bronce
215;Alcides Guardiola Maldonado;M;1969-05-22;Chorrillos;2023-01-21;Sin Programa
216;Pascual Santiago Belda;M;2004-06-03;San Isidro;2023-02-20;Bronce
217;Óscar Lamas Figuerola;M;1961-06-18;Lince;2023-09-04;Sin Programa
218;Aurora Gomila;F;1964-07-11;San Borja;2023-01-21;Sin Programa
219;Yéssica Larrañaga Cisneros;F;1996-05-09;San Borja;2023-11-20;Sin Programa
220;América Daza Meléndez;F;1964-08-16;Breña;2023-11-24;Bronce
221;Pilar Sara Malo Saavedra;F;1946-06-15;San Martín de Porres;2023-08-08;Sin Programa
222;Josefina Mateu Quevedo;F;1979-06-25;San Borja;2023-02-12;Sin Programa
223;Leyre Uribe Río;F;1972-05-20;La Molina;2024-01-30;Bronce
224;María Belén Ariño Rosales;F;2006-09-23;Magdalena del Mar;2023-03-29;Bronce
225;María Del Carmen Ibáñez Amigó;F;1991-11-04;San Martín de Porres;2023-10-05;Sin Programa
226;Darío Almansa Leon;M;1974-04-24;San Miguel;2024-01-25;Sin Programa
227;Alex Rico Díez Sosa;M;1965-03-16;Independencia;2023-05-22;Sin Programa
228;Modesta Salamanca-Lobo;F;1967-06-27;Sin Especificar;2023-11-18;Oro
229;Luís Ruano Téllez;M;1960-01-13;San Miguel;2023-02-15;Bronce
230;Joel Oliveras Real;M;1981-08-25;Santiago de Surco;2023-07-21;Sin Programa
231;Estrella Calvo Cuevas;F;1984-02-11;San Miguel;2023-07-29;Bronce
232;Guiomar Valbuena Maldonado;F;1960-07-19;Lince;2024-01-29;Sin Programa
233;Ruth Arco;F;1941-03-20;Ate;2023-08-01;Plata
234;Arsenio del Iniesta;M;1977-11-17;San Borja;2023-03-03;Plata
235;Bautista Quintero Vilar;M;1954-12-03;Sin Especificar;2023-05-04;Sin Programa
236;Máxima Sevilla Reyes;F;1946-07-09;Los Olivos;2023-01-29;Plata
237;Cecilia Villegas Pardo;F;1986-05-29;Santiago de Surco;2023-12-11;Sin Programa
238;Prudencia Leticia Salamanca Aznar;F;1946-11-09;Villa El Salvador;2023-05-14;Oro
239;Débora Castro Maestre;F;1988-08-19;La Molina;2023-01-29;Sin Programa
240;Vanesa del Carrión;F;1938-05-25;Pueblo Libre;2023-09-21;Bronce
241;Maxi Heras Cuadrado;M;2002-08-12;Independencia;2023-06-21;Sin Programa
242;Leoncio Alcalá Raya;M;1970-11-11;Santiago de Surco;2023-03-28;Sin Programa
243;Daniel Carballo Serrano;M;2004-09-30;Breña;2023-12-02;Oro
244;Moisés Correa Valentín;M;1952-06-02;Sin Especificar;2023-02-01;Plata
245;José Manuel Llano Ribes;M;1972-11-28;San Miguel;2024-01-16;Sin Programa
246;Jovita de Saura;F;1986-10-01;San Isidro;2023-06-17;Sin Programa
247;Camilo Pla-Farré;M;1979-12-08;La Molina;2023-07-21;Sin Programa
248;Liliana Piedad Cerezo Baños;F;1946-03-13;Lince;2023-05-26;Oro
249;Rolando Ribera Nieto;M;1999-09-02;Barranco;2023-04-04;Plata
250;Débora Acedo-Luna;F;1975-11-03;San Juan de Lurigancho;2023-12-15;Bronce
251;Silvio Tovar Comas;M;1973-03-25;Independencia;2023-06-11;Bronce
252;Lupita del Ochoa;F;1962-04-27;Rímac;2023-10-03;Sin Programa
253;Mamen Pi Sarabia;F;1945-10-18;Santiago de Surco;2023-03-18;Sin Programa
254;Tomasa Fabregat Haro;F;1985-12-27;San Isidro;2023-12-13;Plata
255;Fátima Cruz Reig Arranz;F;1994-07-28;Ate;2023-12-22;Bronce
256;Ramón Suárez Piquer;M;1978-11-30;Magdalena del Mar;2024-01-10;Bronce
257;Natanael Cornejo;M;2000-05-01;Ate;2023-01-26;Sin Programa
258;Alicia de Vallés;F;1980-02-24;Los Olivos;2023-08-03;Sin Programa
259;Eusebia Tomasa Cabrera Sacristán;F;1997-03-26;Jesús María;2024-01-27;Sin Programa
260;Lucila Saura Alcántara;F;1961-03-15;San Martín de Porres;2023-09-09;Bronce
261;Guadalupe Cortes Benavides;F;1944-05-27;Santiago de Surco;2023-02-09;Plata
262;Ricarda del Nevado;F;1980-12-23;Surco;2023-11-15;Sin Programa
263;Osvaldo Heliodoro Bernat Moya;M;1937-01-27;Miraflores;2023-06-15;Sin Programa
264;Fortunata Moliner-Torrents;F;1976-10-28;La Molina;2023-04-10;Bronce
265;Alicia Bayona-Guitart;F;1985-02-07;Villa El Salvador;2023-02-18;Bronce
266;Corona Botella Roura;F;1954-05-18;Pueblo Libre;2023-07-07;Bronce
267;Pía Cabrera Salcedo;F;1948-12-15;Santiago de Surco;2023-08-22;Sin Programa
268;Nélida Marí Andres;F;1936-11-05;Lince;2023-08-17;Bronce
269;Fermín Barba Marcos;M;1967-12-31;Miraflores;2023-04-29;Plata
270;Florentina Rosa Coello;F;1990-03-13;Pueblo Libre;2023-06-09;Sin Programa
271;Luisa Requena Escolano;F;1958-04-20;Miraflores;2023-08-09;Sin Programa
272;Carmelita Bermúdez Piñeiro;F;1960-03-18;Santiago de Surco;2023-12-10;Sin Programa
273;Nilda Dalila Valenciano Clemente;F;1948-03-28;Barranco;2023-02-17;Plata
274;Joaquina Izquierdo Segura;F;1983-12-18;Rímac;2024-01-22;Sin Programa
275;Nazario Agustí Sola;M;1977-06-05;Los Olivos;2023-09-08;Sin Programa
276;Nilo Cruz Benavent;M;1948-09-27;Barranco;2023-06-19;Bronce
277;Fabiola del Rodrigo;F;1968-01-05;Sin Especificar;2023-06-10;Sin Programa
278;Jessica Matas Flor;F;1987-12-18;Rímac;2023-06-04;Bronce
279;Tamara Tomas;F;1974-09-05;San Miguel;2023-04-02;Sin Programa
280;Cándida Pizarro Palomar;F;1944-12-10;Chorrillos;2023-11-22;Sin Programa
281;Eusebio Pancho Marquez Almeida;M;1963-08-20;Miraflores;2023-08-27;Oro
282;Emigdio Aguiló;M;2001-05-30;Jesús María;2024-01-13;Sin Programa
283;Teresa Noelia Avilés Valdés;F;1970-09-04;Ate;2023-12-08;Plata
284;Renata Grau Ortuño;F;1983-04-06;San Miguel;2023-07-01;Sin Programa
285;Mercedes Falcón Iglesia;F;1966-12-20;Sin Especificar;2023-07-07;Sin Programa
286;Mauricio Caballero Ariza;M;1990-05-17;Ate;2024-01-11;Sin Programa
287;Rufino Saez Aragonés;M;1984-03-25;Villa El Salvador;2023-04-25;Sin Programa
288;Filomena Patricia Catalá Bosch;F;1939-03-26;San Borja;2023-05-28;Sin Programa
289;Eugenia Ribes Echevarría;F;1970-04-15;Villa El Salvador;2024-01-04;Oro
290;Blas Paz Valls;M;1971-11-23;Ate;2023-04-11;Sin Programa
291;Selena Córdoba Jimenez;F;1981-05-13;San Martín de Porres;2023-07-05;Sin Programa
292;Rosenda del Nevado;F;1938-04-22;Sin Especificar;2023-04-22;Sin Programa
293;Josefina Benet Chico;F;1997-03-06;Pueblo Libre;2024-01-12;Bronce
294;Tito Puerta Paz;M;1990-01-25;Comas;2024-01-12;Bronce
295;Rosa Prat Alcalá;F;1944-05-06;Independencia;2023-03-08;Bronce
296;Lupe Casals Sanz;F;1942-07-14;Barranco;2023-10-04;Sin Programa
297;Nicodemo Juárez Piquer;M;1954-09-06;Lince;2023-10-27;Sin Programa
298;Asunción Guillen Soto;F;2001-07-14;Surco;2023-10-04;Bronce
299;María Teresa Mosquera Giralt;F;1989-10-02;Sin Especificar;2024-01-07;Plata
300;Mercedes Simó Matas;F;1994-04-27;Villa El Salvador;2023-09-01;Sin Programa
301;Azahar Chaves;F;1941-06-20;San Borja;2023-06-01;Sin Programa
302;Alejo Mayo Ugarte;M;1953-12-27;Comas;2023-05-17;Sin Programa
303;Ariadna Guitart Cerdá;F;1997-12-12;San Miguel;2024-01-28;Bronce
304;Jenny Peláez;F;1972-09-02;San Borja;2023-01-04;Sin Programa
305;Hortensia Cortes-Ribera;F;1960-07-18;San Juan de Lurigancho;2023-09-11;Plata
306;Sigfrido Tovar Raya;M;1954-02-12;Ate;2023-04-25;Plata
307;Alcides Pellicer Gaya;M;1954-06-13;Miraflores;2023-03-03;Sin Programa
308;Isidora de Pareja;F;1966-07-27;San Isidro;2023-02-20;Bronce
309;Noelia Pedrero Palmer;F;1977-06-20;Jesús María;2023-06-26;Bronce
310;Heliodoro Llorente Falcó;M;1974-07-22;San Miguel;2023-03-11;Bronce
311;Susana Sanz Bravo;F;1999-02-13;Breña;2023-08-25;Sin Programa
312;Miguel Ángel Almazán Ayuso;M;1995-12-03;Jesús María;2023-11-17;Sin Programa
313;Domingo Casas Fuertes;M;1953-12-17;Independencia;2023-10-25;Plata
314;Severino Galan Garzón;M;1990-04-16;San Borja;2023-08-05;Bronce
315;Eulalia Coloma Acedo;F;1946-09-26;Chorrillos;2023-09-27;Bronce
316;Tecla Coca Castillo;F;1994-09-26;Ate;2023-12-31;Oro
317;Edgardo Díaz-Canet;M;1948-02-29;Independencia;2023-05-12;Sin Programa
318;Benigna Alcolea Palma;F;2005-03-03;Breña;2023-03-04;Plata
319;Marita Morante Alcázar;F;1965-03-16;Independencia;2024-01-19;Sin Programa
320;Eligio Badía Castañeda;M;1985-05-22;Santiago de Surco;2023-01-17;Sin Programa
321;Juan José Carballo;M;1977-09-17;Los Olivos;2023-02-14;Plata
